Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
1381948200.0,,,,,,,,,,,,,,
1382034600.0,,,,,,,,,,,,,,
1382121000.0,24.9,32,19,-,64,0,2.7,5.2,16.5,-,,,,
1382207400.0,25.3,31,19,-,58,0,2.3,3.5,11.1,-,,,,
1382293800.0,24.6,31,19,-,57,0,2.1,3.9,14.8,-,,,,
1382380200.0,,,,,,,,,,,,,,
1382466600.0,,,,,,,,,,,,,,
1382553000.0,,,,,,,,,,,,,,
1382639400.0,23.9,30,19,-,68,0,1.1,3.7,11.1,-,,,,
1382725800.0,24,30,19,-,67,0,1.1,2.4,9.4,-,,,,
1382812200.0,22.6,30,18,-,63,0,1.4,4.3,14.8,-,,,,o
1382898600.0,,,,,,,,,,,,,,
1382985000.0,,,,,,,,,,,,,,
1383071400.0,,,,,,,,,,,,,,
1383157800.0,24.9,30,20,-,51,0,2.6,7.8,14.8,-,,,,
1380565800.0,28.3,32,25,-,71,0,3.4,11.7,16.5,-,,,,
1380652200.0,28.7,33,25,-,66,0,3.7,13.1,22.2,-,,,,
1380738600.0,27.3,33,23,-,66,0,3.5,13.1,24.1,-,,,,
1380825000.0,,,,,,,,,,,o,,,
1380911400.0,,,,,,,,,,,,,,
1380997800.0,,,,,,,,,,,,,,
1381084200.0,29.8,33,26,-,68,0,2.1,7,11.1,-,,,,
1381170600.0,29.9,34,26,-,67,0,2.9,8.1,13,-,,,,
1381257000.0,29.4,34,25,-,66,0,2.6,8.7,16.5,-,,,,
1381343400.0,,,,,,,,,,,,,,
1381429800.0,,,,,,,,,,,o,,o,
1381516200.0,,,,,,,,,,,o,,,
1381602600.0,27.2,31,24,-,76,0,2.3,2.8,11.1,-,,,,
1381689000.0,27.6,32,23,-,74,0,2.4,6.9,18.3,-,,,,
1381775400.0,26.2,33,22,-,72,0,2.6,4.6,14.8,-,,,,
1381861800.0,,,,,,,,,,,,,,
